Date,Registration,Call Sign,Flight Direction,Marketing Airline Desc,Non-PA Airport,Body Type Desc,Gate,Terminal Code,Total Gate Occ Time,Arrival Runway,Block Schedule,Block Actual,Total Calculated Delay,Total  Movement Time,Total Ramp Time,Total Taxi Time Calc,On Scheduled,On Actual
2025-05-31 00:00:00,N361FR,FFT4348,Missed Approach,Frontier Airlines,ATL,Narrow Body,Gate_TB_42,Terminal B,,22,,,0,,,,2025-05-31 10:19:00,2025-05-31 10:58:00
2025-06-14 00:00:00,N309FR,FFT3288,Missed Approach,Frontier Airlines,ATL,Narrow Body,Gate_TB_41,Terminal B,,4,,,0,,,,2025-06-14 00:33:00,2025-06-14 10:54:00
2025-06-30 00:00:00,N654FR,FFT3288,Missed Approach,Frontier Airlines,ATL,Narrow Body,Gate_TB_42,Terminal B,,31-4,,,0,,,,2025-06-29 23:38:00,2025-06-30 00:31:00
2025-06-30 00:00:00,N232FR,FFT4348,Missed Approach,Frontier Airlines,ATL,Narrow Body,Gate_TB_42,Terminal B,,4,,,0,,,,2025-06-30 10:40:00,2025-06-30 12:36:00
2025-07-14 00:00:00,N368FR,FFT4348,Missed Approach,Frontier Airlines,ATL,Narrow Body,Gate_TB_42,Terminal B,,22,,,0,,,,2025-07-14 10:23:00,2025-07-14 10:35:00
2025-07-22 00:00:00,N668FR,FFT3092,Missed Approach,Frontier Airlines,CLE,Narrow Body,Gate_TB_42,Terminal B,,22,,,0,,,,2025-07-22 16:11:00,2025-07-22 16:15:00
2025-07-29 00:00:00,N620FR,FFT3314,Missed Approach,Frontier Airlines,RDU,Narrow Body,Gate_TB_42,Terminal B,,22-22,,,0,,,,2025-07-29 15:49:00,2025-07-29 15:40:00
2025-08-02 00:00:00,N350FR,FFT3134,Missed Approach,Frontier Airlines,CLT,Narrow Body,Gate_TB_42,Terminal B,,31-31,,,0,,,,2025-08-02 11:30:55,2025-08-02 12:52:00
2025-08-05 00:00:00,N329FR,FFT4348,Missed Approach,Frontier Airlines,ATL,Narrow Body,Gate_TB_42,Terminal B,,4,,,0,,,,2025-08-05 10:23:00,2025-08-05 10:46:00
2025-08-16 00:00:00,N657FR,FFT3424,Missed Approach,Frontier Airlines,DFW,Narrow Body,Gate_TB_41,Terminal B,,13,,,0,,,,2025-08-16 20:48:00,2025-08-16 20:55:00
2025-07-26 00:00:00,N435N,JTZ435,Missed Approach,General Aviation,ACK,Unknown,Unknown,LGA-Unknown,,22-22-4-4,,,0,,,,,2025-07-26 15:21:59
2025-08-13 00:00:00,N94,FLC94,Missed Approach,General Aviation,OKC,General Aviation,Unknown,LGA-Unknown,,22,,,0,,,,2025-08-12 23:43:00,2025-08-13 00:03:00
2025-08-26 00:00:00,N660RB,JTZ660,Missed Approach,General Aviation,SAV,Unknown,Unknown,LGA-Unknown,,31,,,0,,,,,2025-08-26 09:51:00
2025-06-09 00:00:00,N632JB,JBU8356,Missed Approach,JetBlue Airways,LGA,Narrow Body,Gate_TB_59,Terminal B,,4,,,0,,,,,2025-06-09 11:11:00
2025-08-30 00:00:00,N554JB,JBU698,Missed Approach,JetBlue Airways,MCO,Narrow Body,Gate_TB_59,Terminal B,,31,,,0,,,,2025-08-30 14:43:12,2025-08-30 14:46:00
2025-06-23 00:00:00,C-GKXK,POE603,Missed Approach,Porter Airlines,YYZ,Unknown,Gate_TB_59,Terminal B,,4,,,0,,,,2025-06-23 08:55:00,2025-06-23 08:46:00
2025-07-19 00:00:00,C-GKQK,POE605,Missed Approach,Porter Airlines,YYZ,Unknown,Gate_TB_40,Terminal B,,22,,,0,,,,2025-07-19 16:30:00,2025-07-19 16:16:00
2025-08-31 00:00:00,C-GKQN,POE607,Missed Approach,Porter Airlines,YYZ,Unknown,Gate_TB_40,Terminal B,,22,,,0,,,,2025-08-31 21:05:00,2025-08-31 20:49:00
2025-06-17 00:00:00,N234JQ,RPA5854,Missed Approach,Republic Airways,GSO,Commuter,Gate_TA_5,Terminal A,,4,,,0,,,,2025-06-17 07:23:00,2025-06-17 08:51:00
2025-05-26 00:00:00,N8817L,SWA1464,Missed Approach,Southwest Airlines,ATL,Narrow Body,Gate_TB_54,Terminal B,,22-22-31-31,,,0,,,,2025-05-26 14:47:00,2025-05-26 14:43:00
2025-05-28 00:00:00,N8928Q,SWA2051,Missed Approach,Southwest Airlines,MDW,Narrow Body,Gate_TB_55,Terminal B,,4,,,0,,,,2025-05-28 23:23:41,2025-05-28 23:29:00
2025-05-29 00:00:00,N8923Q,SWA1286,Missed Approach,Southwest Airlines,MCI,Narrow Body,Gate_TB_56,Terminal B,,4,,,0,,,,2025-05-29 10:22:00,2025-05-29 10:12:00
2025-06-02 00:00:00,N8803L,SWA2001,Missed Approach,Southwest Airlines,STL,Narrow Body,Gate_TB_56,Terminal B,,22,,,0,,,,2025-06-02 12:57:00,2025-06-02 13:12:00
